Year,Coal (Quadrillion Btu),Natural Gas (Quadrillion Btu),Petroleum (Quadrillion Btu),Nuclear (Quadrillion Btu),Hydro (Quadrillion Btu),Geothermal (Quadrillion Btu),Solar (Quadrillion Btu),Wind (Quadrillion Btu),Biomass (Quadrillion Btu),Total Primary Energy (Quadrillion Btu),Population,Energy Per Capita (Btu)
1775,,,,,0,,,,0.249,0.249,,
1785,,,,,0,,,,0.31,0.31,,
1790,,,,,,,,,,0.356,"3,929,214","90,603,362"
1795,,,,,0,,,,0.402,0.402,,
1800,,,,,,,,,,0.4695,"5,308,483","88,443,346"
1805,,,,,0,,,,0.537,0.537,,
1810,,,,,,,,,,0.6255,"7,239,881","86,396,448"
1815,,,,,0,,,,0.714,0.714,,
1820,,,,,,,,,,0.837,"9,638,453","86,839,662"
1825,,,,,0,,,,0.96,0.96,,
1830,,,,,,,,,,1.1325,"12,860,702","88,058,957"
1835,,,,,0,,,,1.305,1.305,,
1840,,,,,,,,,,1.531,"17,063,353","89,724,452"
1845,,,,,0,,,,1.757,1.757,,
1850,0.219,,,,0,,,,2.138,2.357,"23,191,876","101,630,416"
1855,0.421,,,,0,,,,2.389,2.81,,
1860,0.518,,0.003,,0,,,,2.641,3.162,"31,443,321","100,561,897"
1865,0.632,,0.01,,0,,,,2.767,3.409,,
1870,1.048,,0.011,,0,,,,2.893,3.952,"38,558,371","102,493,957"
1875,1.44,,0.011,,0,,,,2.872,4.323,,
1880,2.054,,0.096,,0,,,,2.851,5.001,"50,189,209","99,642,933"
1885,2.84,0.082,0.04,,0,,,,2.683,5.645,,
1890,4.062,0.257,0.156,,0.022,,,,2.515,7.012,"62,979,766","111,337,346"
1895,4.95,0.147,0.168,,0.09,,,,2.306,7.661,,
1900,6.841,0.252,0.229,,0.25,,,,2.015,9.587,"76,212,168","125,793,561"
1905,10.001,0.372,0.61,,0.386,,,,1.843,13.212,,
1910,12.714,0.54,1.007,,0.539,,,,1.765,16.565,"92,228,496","179,608,263"
1915,13.294,0.673,1.418,,0.659,,,,1.688,17.732,,
1920,15.504,0.813,2.676,,0.738,,,,1.61,21.341,"106,021,537","201,289,291"
1925,14.706,1.191,4.28,,0.668,,,,1.533,22.378,,
1930,13.639,1.932,5.897,,0.752,,,,1.455,23.675,"123,202,624","192,163,115"
1935,10.634,1.919,5.675,,0.806,,,,1.397,20.431,,
